name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
SmartRefreshLayout,2017-06-02T09:52:50Z,2022-09-11T16:13:34Z,6,10,Java,1197,247,https://github.com/scwang90/SmartRefreshLayout,23795
spring-cloud-alibaba,2017-12-01T20:49:15Z,2022-09-11T14:07:55Z,618,28,Java,1455,376,https://github.com/alibaba/spring-cloud-alibaba,23577
halo,2018-03-21T12:56:52Z,2022-09-11T23:50:01Z,657,87,Java,1327,173,https://github.com/halo-dev/halo,23504
BaseRecyclerViewAdapterHelper,2016-04-10T07:40:11Z,2022-09-11T14:17:20Z,191,193,Java,2902,499,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,23098
kafka,2011-08-15T18:06:16Z,2022-09-11T16:24:52Z,5759,0,Java,0,0,https://github.com/apache/kafka,23037
Hystrix,2012-11-19T20:14:46Z,2022-09-11T18:19:34Z,672,79,Java,681,340,https://github.com/Netflix/Hystrix,22910
seata,2018-12-28T08:37:22Z,2022-09-11T07:50:24Z,1532,33,Java,2171,638,https://github.com/seata/seata,22782
Signal-Android,2011-12-15T20:01:12Z,2022-09-11T22:44:36Z,238,0,Java,9523,241,https://github.com/signalapp/Signal-Android,22772
xxl-job,2015-11-28T12:59:34Z,2022-09-12T00:37:50Z,96,31,Java,1701,880,https://github.com/xuxueli/xxl-job,22459
gson,2015-03-19T18:21:20Z,2022-09-11T14:45:10Z,370,4,Java,1177,307,https://github.com/google/gson,21355
NewPipe,2015-09-03T23:39:26Z,2022-09-12T01:16:51Z,1284,121,Java,5918,1118,https://github.com/TeamNewPipe/NewPipe,20833
Telegram,2013-10-25T14:08:10Z,2022-09-11T23:10:34Z,20,75,Java,0,0,https://github.com/DrKLO/Telegram,20690
libgdx,2012-08-10T19:34:38Z,2022-09-12T01:01:44Z,2444,9,Java,3343,182,https://github.com/libgdx/libgdx,20430
skywalking,2015-11-07T03:30:36Z,2022-09-11T14:21:12Z,3747,53,Java,4317,71,https://github.com/apache/skywalking,20195
Sentinel,2018-04-04T06:37:33Z,2022-09-11T07:44:09Z,435,21,Java,1454,452,https://github.com/alibaba/Sentinel,19818
ExoPlayer,2014-06-13T21:19:18Z,2022-09-11T15:16:14Z,533,20,Java,8793,629,https://github.com/google/ExoPlayer,19793
redisson,2014-01-11T14:06:25Z,2022-09-11T16:31:12Z,302,112,Java,3710,320,https://github.com/redisson/redisson,19761
flink,2014-06-07T07:00:10Z,2022-09-11T14:55:17Z,6595,0,Java,0,0,https://github.com/apache/flink,19718
RxAndroid,2014-08-19T03:46:38Z,2022-09-10T23:43:50Z,171,18,Java,341,2,https://github.com/ReactiveX/RxAndroid,19694
jenkins,2010-11-22T21:21:23Z,2022-09-11T22:16:07Z,5291,204,Java,0,0,https://github.com/jenkinsci/jenkins,19449
bazel,2014-06-12T16:00:38Z,2022-09-11T22:26:18Z,256,170,Java,7767,2411,https://github.com/bazelbuild/bazel,19363
DoKit,2018-08-14T10:32:07Z,2022-09-11T16:06:35Z,339,10,Java,473,165,https://github.com/didi/DoKit,19025
eladmin,2018-12-14T08:54:24Z,2022-09-11T06:25:27Z,71,0,Java,590,21,https://github.com/elunez/eladmin,18685
PhotoView,2012-07-17T16:39:00Z,2022-09-11T20:06:01Z,54,5,Java,476,184,https://github.com/Baseflow/PhotoView,18327
rocketmq,2016-11-30T08:00:08Z,2022-09-12T01:20:10Z,1261,7,Java,2048,475,https://github.com/apache/rocketmq,18047
FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,2022-09-11T21:57:40Z,56,0,Java,82,397,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,17927
GSYVideoPlayer,2016-11-13T12:34:31Z,2022-09-10T23:52:51Z,39,40,Java,3423,15,https://github.com/CarGuo/GSYVideoPlayer,17794
mybatis-3,2013-02-14T19:03:32Z,2022-09-11T22:47:55Z,982,37,Java,1049,151,https://github.com/mybatis/mybatis-3,17674
graal,2016-01-14T17:11:35Z,2022-09-11T17:13:25Z,1017,32,Java,2320,830,https://github.com/oracle/graal,17445
litemall,2018-03-22T16:42:30Z,2022-09-11T18:32:13Z,98,8,Java,324,23,https://github.com/linlinjava/litemall,17358
shardingsphere,2016-01-18T12:49:26Z,2022-09-11T20:21:02Z,11898,49,Java,7374,484,https://github.com/apache/shardingsphere,17297
HikariCP,2013-10-08T05:43:03Z,2022-09-11T19:02:47Z,204,0,Java,1233,361,https://github.com/brettwooldridge/HikariCP,17232
leetcode,2018-09-16T14:03:03Z,2022-09-12T00:50:35Z,734,19,Java,22,0,https://github.com/doocs/leetcode,17191
cat,2012-12-05T02:31:48Z,2022-09-11T17:54:58Z,895,3,Java,1067,112,https://github.com/dianping/cat,17148
SpringCloudLearning,2017-04-08T10:06:56Z,2022-09-11T16:37:07Z,0,0,Java,12,36,https://github.com/forezp/SpringCloudLearning,16866
fresco,2015-03-02T09:58:04Z,2022-09-11T15:09:54Z,83,45,Java,2060,186,https://github.com/facebook/fresco,16852
Android-Universal-Image-Loader,2011-11-27T18:48:23Z,2022-09-11T08:57:24Z,51,0,Java,773,443,https://github.com/nostra13/Android-Universal-Image-Loader,16796
tinker,2016-09-06T06:57:52Z,2022-09-11T14:38:51Z,71,50,Java,1069,459,https://github.com/Tencent/tinker,16525
zheng,2016-10-04T10:07:06Z,2022-09-11T01:06:57Z,10,0,Java,62,35,https://github.com/shuzheng/zheng,16347
Mindustry,2017-04-30T01:24:29Z,2022-09-12T01:18:05Z,2558,140,Java,3260,1,https://github.com/Anuken/Mindustry,15939
java8-tutorial,2014-03-16T17:25:43Z,2022-09-11T17:03:24Z,10,0,Java,0,0,https://github.com/winterbe/java8-tutorial,15922
zipkin,2012-06-06T18:26:16Z,2022-09-11T19:49:56Z,1673,67,Java,1086,180,https://github.com/openzipkin/zipkin,15642
termux-app,2015-10-23T09:42:46Z,2022-09-12T01:30:45Z,126,89,Java,1861,263,https://github.com/termux/termux-app,15533
Android-CleanArchitecture,2014-08-19T14:09:26Z,2022-09-10T20:47:51Z,14,0,Java,124,126,https://github.com/android10/Android-CleanArchitecture,15196
disruptor,2012-09-21T13:42:24Z,2022-09-09T11:44:08Z,104,13,Java,274,7,https://github.com/LMAX-Exchange/disruptor,15168
springboot-learning-example,2017-02-06T07:02:25Z,2022-09-11T17:46:30Z,6,0,Java,63,12,https://github.com/JeffLi1993/springboot-learning-example,15053
SpringBoot-Labs,2018-09-12T14:51:46Z,2022-09-11T17:02:39Z,3,0,Java,16,26,https://github.com/YunaiV/SpringBoot-Labs,15030
Apktool,2012-03-19T17:46:53Z,2022-09-11T18:52:25Z,247,15,Java,2395,91,https://github.com/iBotPeaches/Apktool,14786
SpringBoot-Learning,2016-08-21T03:39:06Z,2022-09-11T17:45:33Z,1,0,Java,14,34,https://github.com/dyc87112/SpringBoot-Learning,14694
CircleImageView,2014-01-17T16:44:46Z,2022-09-08T23:09:12Z,14,0,Java,351,15,https://github.com/hdodenhof/CircleImageView,14282
elasticsearch-analysis-ik,2011-12-16T09:01:45Z,2022-09-11T13:12:39Z,51,176,Java,537,330,https://github.com/medcl/elasticsearch-analysis-ik,14266
jdk,2018-09-17T12:29:20Z,2022-09-11T17:31:09Z,3,0,Java,0,0,https://github.com/openjdk/jdk,14062
