name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
gin,2014-06-16T23:57:25Z,2022-10-02T21:43:59Z,858,22,Go,1451,457,https://github.com/gin-gonic/gin,63268
hugo,2013-07-04T15:26:26Z,2022-10-02T23:18:05Z,1785,207,Go,5556,597,https://github.com/gohugoio/hugo,62712
svelte,2016-11-20T18:13:05Z,2022-10-02T18:57:20Z,2417,0,TypeScript,3939,668,https://github.com/sveltejs/svelte,62434
reveal.js,2011-06-07T18:54:22Z,2022-10-02T22:58:36Z,365,38,JavaScript,1549,619,https://github.com/hakimel/reveal.js,62127
Front-End-Checklist,2017-10-16T10:12:36Z,2022-10-02T20:38:42Z,172,1,,134,5,https://github.com/thedaviddias/Front-End-Checklist,62110
webpack,2012-03-10T10:08:14Z,2022-10-02T18:09:55Z,4180,381,JavaScript,9016,194,https://github.com/webpack/webpack,61870
nvm,2010-04-15T17:47:47Z,2022-10-02T21:48:23Z,654,60,Shell,1506,304,https://github.com/nvm-sh/nvm,61223
tailwindcss,2017-10-06T14:59:14Z,2022-10-02T22:19:53Z,1517,201,JavaScript,2522,1,https://github.com/tailwindlabs/tailwindcss,61031
flask,2010-04-06T11:11:59Z,2022-10-02T18:27:22Z,1404,23,Python,2400,2,https://github.com/pallets/flask,60690
frp,2015-12-21T15:24:59Z,2022-10-02T21:04:45Z,394,73,Go,2397,102,https://github.com/fatedier/frp,60513
free-for-dev,2015-03-18T21:06:26Z,2022-10-02T22:45:18Z,1961,0,HTML,0,0,https://github.com/ripienaar/free-for-dev,60358
angular.js,2010-01-06T00:34:37Z,2022-10-02T10:36:38Z,789,0,JavaScript,8649,391,https://github.com/angular/angular.js,59381
redux,2015-05-29T23:53:15Z,2022-10-02T18:34:01Z,1551,67,TypeScript,1924,42,https://github.com/reduxjs/redux,58706
atom,2012-01-20T18:18:21Z,2022-10-02T17:58:37Z,3932,538,JavaScript,16144,926,https://github.com/atom/atom,58550
express,2009-06-26T18:56:01Z,2022-10-02T20:16:49Z,257,146,JavaScript,3593,110,https://github.com/expressjs/express,58489
Chart.js,2013-03-17T23:56:36Z,2022-10-02T22:08:01Z,2746,91,JavaScript,6403,159,https://github.com/chartjs/Chart.js,58287
neovim,2014-01-31T13:39:22Z,2022-10-02T23:34:06Z,8037,28,Vim Script,7450,1257,https://github.com/neovim/neovim,58198
app-ideas,2019-02-25T18:36:56Z,2022-10-02T22:05:14Z,149,0,,32,52,https://github.com/florinpop17/app-ideas,58183
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2022-10-02T23:52:00Z,348,0,JavaScript,0,0,https://github.com/microsoft/Web-Dev-For-Beginners,57903
redis,2009-03-21T22:32:25Z,2022-10-02T21:55:29Z,2991,36,C,3923,1731,https://github.com/redis/redis,57013
code-server,2019-02-27T16:50:41Z,2022-10-02T23:10:45Z,1166,83,TypeScript,2825,195,https://github.com/coder/code-server,56895
jquery,2009-04-03T15:20:14Z,2022-10-02T17:43:08Z,559,3,JavaScript,2133,75,https://github.com/jquery/jquery,56762
socket.io,2010-03-11T18:24:48Z,2022-10-02T21:15:35Z,410,51,TypeScript,3149,95,https://github.com/socketio/socket.io,56752
keras,2015-03-28T00:35:42Z,2022-10-02T23:25:15Z,2703,41,Python,11229,252,https://github.com/keras-team/keras,56304
awesome-machine-learning,2014-07-15T19:11:19Z,2022-10-02T23:51:36Z,756,0,Python,75,1,https://github.com/josephmisiti/awesome-machine-learning,56144
iptv,2018-11-14T22:00:57Z,2022-10-02T22:33:24Z,4676,0,JavaScript,3015,506,https://github.com/iptv-org/iptv,56025
Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,2022-10-02T21:13:57Z,424,0,Nunjucks,124,4,https://github.com/h5bp/Front-end-Developer-Interview-Questions,55379
shadowsocks-windows,2013-01-14T07:54:16Z,2022-10-02T21:21:28Z,278,55,C#,2706,103,https://github.com/shadowsocks/shadowsocks-windows,55154
lodash,2012-04-07T04:11:46Z,2022-10-02T19:40:31Z,573,2,JavaScript,3767,276,https://github.com/lodash/lodash,54494
Apollo-11,2014-04-03T15:45:02Z,2022-10-02T16:38:33Z,306,0,Assembly,316,58,https://github.com/chrislgarry/Apollo-11,53595
awesome-mac,2016-07-17T15:33:47Z,2022-10-02T23:00:18Z,671,5,JavaScript,245,84,https://github.com/jaywcjlove/awesome-mac,53493
html5-boilerplate,2010-01-24T18:03:24Z,2022-10-02T21:13:10Z,647,32,JavaScript,1274,7,https://github.com/h5bp/html5-boilerplate,53405
echarts,2013-04-03T03:18:59Z,2022-10-02T21:15:37Z,1086,105,TypeScript,14030,2120,https://github.com/apache/echarts,52764
element,2016-09-03T06:19:26Z,2022-10-02T16:27:16Z,3198,141,Vue,15140,2076,https://github.com/ElemeFE/element,52696
33-js-concepts,2018-09-04T13:27:04Z,2022-10-02T23:41:12Z,139,0,JavaScript,32,13,https://github.com/leonardomso/33-js-concepts,51938
tauri,2019-07-13T09:09:37Z,2022-10-02T23:49:38Z,2586,442,Rust,1626,202,https://github.com/tauri-apps/tauri,51623
awesome-react,2014-08-06T05:31:44Z,2022-10-02T23:37:48Z,764,0,,71,18,https://github.com/enaqx/awesome-react,51369
awesome-public-datasets,2014-11-20T06:20:50Z,2022-10-02T23:35:33Z,188,0,,46,58,https://github.com/awesomedata/awesome-public-datasets,51257
nest,2017-02-04T20:12:52Z,2022-10-02T22:22:21Z,4335,75,TypeScript,4334,43,https://github.com/nestjs/nest,51106
mermaid,2014-11-01T23:52:32Z,2022-10-02T21:06:00Z,1275,94,JavaScript,1251,784,https://github.com/mermaid-js/mermaid,50200
Semantic-UI,2013-04-08T23:32:04Z,2022-10-02T15:03:21Z,351,153,JavaScript,5242,947,https://github.com/Semantic-Org/Semantic-UI,50191
fastapi,2018-12-08T08:21:47Z,2022-10-02T23:40:51Z,1009,133,Python,1997,1114,https://github.com/tiangolo/fastapi,50115
awesome-interview-questions,2015-11-28T09:48:17Z,2022-10-02T23:01:51Z,175,0,,29,1,https://github.com/DopplerHQ/awesome-interview-questions,50071
leetcode,2018-03-30T09:13:51Z,2022-10-02T13:49:47Z,252,40,JavaScript,239,2,https://github.com/azl397985856/leetcode,49463
spring-framework,2010-12-08T04:04:45Z,2022-10-02T16:00:20Z,720,236,Java,21308,1228,https://github.com/spring-projects/spring-framework,49279
DeepLearning-500-questions,2018-06-27T06:36:45Z,2022-10-02T14:35:05Z,302,0,JavaScript,80,100,https://github.com/scutan90/DeepLearning-500-questions,49058
requests,2011-02-13T18:38:17Z,2022-10-02T22:13:20Z,1456,4,Python,3454,190,https://github.com/psf/requests,48307
react-router,2014-05-16T22:22:51Z,2022-10-02T21:38:25Z,1547,248,TypeScript,6521,90,https://github.com/remix-run/react-router,48274
javascript-questions,2019-06-12T08:26:27Z,2022-10-02T20:05:52Z,290,0,,130,69,https://github.com/lydiahallie/javascript-questions,48214
Java,2016-07-16T10:21:02Z,2022-10-02T23:25:10Z,849,0,Java,688,18,https://github.com/TheAlgorithms/Java,48117
ionic-framework,2013-08-20T23:06:02Z,2022-10-02T18:38:38Z,3837,430,TypeScript,19785,548,https://github.com/ionic-team/ionic-framework,48025
vite,2020-04-21T05:03:57Z,2022-10-02T23:50:21Z,2533,192,TypeScript,4228,477,https://github.com/vitejs/vite,48009
