name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
angular-cli,2015-06-04T19:49:37Z,2022-10-02T20:30:41Z,7755,531,TypeScript,13667,206,https://github.com/angular/angular-cli,25667
ClickHouse,2016-06-02T08:28:18Z,2022-10-02T21:55:50Z,23815,395,C++,10769,2363,https://github.com/ClickHouse/ClickHouse,25628
consul,2013-11-04T22:15:27Z,2022-10-02T15:20:17Z,8259,115,Go,3936,991,https://github.com/hashicorp/consul,25436
lighthouse,2016-03-08T01:03:11Z,2022-10-02T09:10:04Z,4476,92,JavaScript,7881,526,https://github.com/GoogleChrome/lighthouse,25325
minikube,2016-04-15T22:38:35Z,2022-10-02T18:01:12Z,5919,135,Go,7177,738,https://github.com/kubernetes/minikube,24894
influxdb,2013-09-26T14:31:10Z,2022-10-02T14:20:28Z,9393,72,Go,11042,1549,https://github.com/influxdata/influxdb,24215
mattermost-server,2015-06-15T06:50:02Z,2022-10-02T21:14:07Z,12358,324,Go,6210,575,https://github.com/mattermost/mattermost-server,23951
rocksdb,2012-11-30T06:16:18Z,2022-10-02T09:18:54Z,582,164,C++,2198,483,https://github.com/facebook/rocksdb,23659
kafka,2011-08-15T18:06:16Z,2022-10-02T23:19:16Z,5825,0,Java,0,0,https://github.com/apache/kafka,23203
components,2016-01-04T18:50:02Z,2022-10-02T15:08:02Z,10247,320,TypeScript,11735,1652,https://github.com/angular/components,22985
emscripten,2011-02-12T05:23:30Z,2022-10-02T21:22:13Z,8421,0,C,6627,1118,https://github.com/emscripten-core/emscripten,22764
ray,2016-10-25T19:38:30Z,2022-10-02T19:49:06Z,14057,59,Python,8929,2526,https://github.com/ray-project/ray,22201
serenity,2018-12-02T19:28:41Z,2022-10-02T23:23:08Z,10856,0,C++,2606,505,https://github.com/SerenityOS/serenity,21745
numpy,2010-09-13T23:02:39Z,2022-10-02T23:00:51Z,9181,90,Python,8864,2040,https://github.com/numpy/numpy,21592
appsmith,2020-06-30T04:07:36Z,2022-10-02T21:15:29Z,5850,129,TypeScript,7385,2565,https://github.com/appsmithorg/appsmith,21402
taichi,2016-11-24T10:00:05Z,2022-10-02T17:20:56Z,3766,105,C++,1447,558,https://github.com/taichi-dev/taichi,21266
envoy,2016-08-08T15:07:24Z,2022-10-02T15:52:31Z,12554,91,C++,6805,1225,https://github.com/envoyproxy/envoy,20551
jax,2018-10-25T21:25:02Z,2022-10-02T22:33:46Z,6130,45,Python,2653,880,https://github.com/google/jax,20422
skywalking,2015-11-07T03:30:36Z,2022-10-02T20:09:00Z,3782,53,Java,4351,71,https://github.com/apache/skywalking,20323
server,2016-06-02T07:44:14Z,2022-10-02T22:14:19Z,16289,72,PHP,12428,2209,https://github.com/nextcloud/server,20234
lightning,2019-03-31T00:45:57Z,2022-10-02T21:44:43Z,6014,107,Python,4929,507,https://github.com/Lightning-AI/lightning,20187
incubator-mxnet,2015-04-30T16:21:15Z,2022-10-02T04:43:44Z,8829,34,C++,7745,1783,https://github.com/apache/incubator-mxnet,20090
generator-jhipster,2013-10-21T20:07:22Z,2022-10-02T15:44:15Z,11449,25,JavaScript,6918,212,https://github.com/jhipster/generator-jhipster,19934
rancher,2014-11-07T20:49:31Z,2022-10-02T18:33:48Z,7497,901,Go,27758,2123,https://github.com/rancher/rancher,19896
flink,2014-06-07T07:00:10Z,2022-10-02T21:54:59Z,6678,0,Java,0,0,https://github.com/apache/flink,19868
forem,2016-11-13T23:02:13Z,2022-10-02T21:55:27Z,11528,0,Ruby,4401,498,https://github.com/forem/forem,19695
jenkins,2010-11-22T21:21:23Z,2022-10-02T14:27:25Z,5384,209,Java,0,0,https://github.com/jenkinsci/jenkins,19565
lens,2018-11-12T06:28:56Z,2022-10-02T19:25:37Z,2958,193,TypeScript,2012,828,https://github.com/lensapp/lens,19528
ruby,2010-02-27T15:55:23Z,2022-10-02T19:20:37Z,3090,0,Ruby,0,0,https://github.com/ruby/ruby,19528
bazel,2014-06-12T16:00:38Z,2022-10-02T19:13:19Z,259,174,Java,7824,2420,https://github.com/bazelbuild/bazel,19518
